Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Democratic Republic of the Congo,Kwango,Kabondo Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.3145,19.1329,Other,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Kahemba Hôpital Général de Référence,Hôpital Général de Référence,Publique,-7.2812,18.9996,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Kajiji Hôpital Général de Référence,Hôpital Général de Référence,Publique,-7.6146,18.3829,Other,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Kasongo-Lunda Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.4768,16.8122,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Kenge Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.8165,17.039,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Kimbau Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.4938,17.4656,Other,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Kisandji Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.2517,19.2523,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Kitenda Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.8812,17.3496,Other,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Moanza Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.4091,17.4918,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Mukedi Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.3645,19.2496,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Kwango,Panzi Hôpital Général de Référence,Hôpital Général de Référence,Publique,-6.1151,17.4944,Geonames,Hôpital,Hospital
